Congress,S.Amdt.No,Amends,Sponsor,Latest Action,url,Latest Action Date,Sponsor Party,Outcome,Action Type
118th Congress (2023-2024),S.Amdt.1249,S.Amdt.1092,"Cruz, Ted [Sen.-R-TX]","Amendment SA 1249, under the order of 10/24/23, having not achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 282. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1249?r=19&s=1&s=1&r=20,11/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1217,S.Amdt.1092,"Paul, Rand [Sen.-R-KY]","Amendment SA 1217, under the order of 10/24/23, having not achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 46 - 51. Record Vote Number: 280. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1217?r=20&s=1&s=1&r=21,11/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1296,S.Amdt.1092,"Cruz, Ted [Sen.-R-TX]",Amendment SA 1296 not agreed to in Senate by Yea-Nay Vote. 47 - 49. Record Vote Number: 278. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1296?r=21&s=1&s=1&r=22,10/31/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1243,S.Amdt.1092,"Budd, Ted [Sen.-R-NC]",Amendment SA 1243 not agreed to in Senate by Yea-Nay Vote. 45 - 50. Record Vote Number: 279. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1243?r=22&s=1&s=1&r=23,10/31/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1182,S.Amdt.1092,"Braun, Mike [Sen.-R-IN]",Amendment SA 1182 not agreed to in Senate by Yea-Nay Vote. 35 - 62. Record Vote Number: 271. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1182?r=23&s=1&s=1&r=24,10/26/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1232,S.Amdt.1092,"Lankford, James [Sen.-R-OK]","Amendment SA 1232, under the order of 10/24/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 56 - 42. Record Vote Number: 269. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1232?r=24&s=1&s=1&r=25,10/25/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1237,S.Amdt.1092,"Rubio, Marco [Sen.-R-FL]",Amendment SA 1237 not agreed to in Senate by Yea-Nay Vote. 47 - 51. Record Vote Number: 267. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1237?r=25&s=1&s=1&r=26,10/25/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.523,S.Amdt.935,"Rubio, Marco [Sen.-R-FL]","Amendment SA 523 under the order of 7/27/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 55 - 42. Record Vote Number: 210. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/523?r=26&s=1&s=1&r=27,07/27/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1030,S.Amdt.935,"Sanders, Bernard [Sen.-I-VT]","Amendment SA 1030 under the order of 7/26/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 11 - 88. Record Vote Number: 203. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1030?r=27&s=1&s=1&r=28,07/27/23,,NA,RCV
118th Congress (2023-2024),S.Amdt.874,S.Amdt.935,"Marshall, Roger [Sen.-R-KS]","Amendment SA 874 under the order of 7/26/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 50 - 49. Record Vote Number: 204. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/874?r=28&s=1&s=1&r=29,07/27/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1034,S.Amdt.935,"Kennedy, John [Sen.-R-LA]","Amendment SA 1034 under the order of 7/26/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 205. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1034?r=29&s=1&s=1&r=30,07/27/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.421,S.Amdt.935,"Cruz, Ted [Sen.-R-TX]","Amendment SA 421 under the order of 7/26/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 46 - 53. Record Vote Number: 199. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/421?r=30&s=1&s=1&r=31,07/26/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1055,S.Amdt.935,"Wicker, Roger F. [Sen.-R-MS]","Amendment SA 1055 under the order of 7/26/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 51 - 48. Record Vote Number: 200. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1055?r=31&s=1&s=1&r=32,07/26/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.438,S.Amdt.935,"Paul, Rand [Sen.-R-KY]","Amendment SA 438 under the order of 7/26/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 20 - 78. Record Vote Number: 201. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/438?r=32&s=1&s=1&r=33,07/26/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.376,S.Amdt.935,"Lee, Mike [Sen.-R-UT]",Amendment SA 376 not agreed to in Senate by Yea-Nay Vote. 13 - 71. Record Vote Number: 195. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/376?r=33&s=1&s=1&r=34,07/20/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.838,S.Amdt.935,"Hawley, Josh [Sen.-R-MO]","Amendment SA 838 under the order of 7/19/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 39 - 60. Record Vote Number: 192. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/838?r=34&s=1&s=1&r=35,07/19/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.222,S.Amdt.935,"Paul, Rand [Sen.-R-KY]","Amendment SA 222 under the order of 7/19/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 16 - 83. Record Vote Number: 191. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/222?r=35&s=1&s=1&r=36,07/19/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.102,H.R.3746,"Kennedy, John [Sen.-R-LA]",Amendment SA 102 not agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/102?r=36&s=1&s=1&r=37,06/01/23,R,NA,VV
118th Congress (2023-2024),S.Amdt.104,H.R.3746,"Kennedy, John [Sen.-R-LA]","Amendment SA 104, under the order of 6/1/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 46 - 51. Record Vote Number: 141. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/104?r=36&s=1&r=38,06/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.106,H.R.3746,"Cotton, Tom [Sen.-R-AR]","Amendment SA 106, under the order of 6/1/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 48 - 51. Record Vote Number: 142. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/106?r=36&s=1&r=39,06/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.98,H.R.3746,"Lee, Mike [Sen.-R-UT]",Amendment SA 98 not agreed to in Senate by Yea-Nay Vote. 48 - 51. Record Vote Number: 144. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/98?r=36&s=1&r=40,06/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.93,H.R.3746,"Hawley, Josh [Sen.-R-MO]","Amendment SA 93, under the order of 6/1/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 17 - 81. Record Vote Number: 140. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/93?r=36&s=1&r=41,06/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.91,H.R.3746,"Braun, Mike [Sen.-R-IN]","Amendment SA 91, under the order of 6/1/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 35 - 62. Record Vote Number: 137. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/91?r=36&s=1&r=42,06/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.107,H.R.3746,"Paul, Rand [Sen.-R-KY]","Amendment SA 107, under the order of 6/1/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 21 - 75. Record Vote Number: 136. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/107?r=36&s=1&r=43,06/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.125,H.R.3746,"Sullivan, Dan [Sen.-R-AK]","Amendment SA 125, under the order of 6/1/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 49 - 48. Record Vote Number: 139. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/125?r=36&s=1&r=44,06/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.110,H.R.3746,"Marshall, Roger [Sen.-R-KS]","Amendment SA 110, under the order of 6/1/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 46 - 51. Record Vote Number: 138. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/110?r=36&s=1&r=45,06/01/23,R,NA,RCV
