,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
57,House,02/13/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/13/daily-digest
58,Senate,02/14/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/14/daily-digest
59,House,02/14/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/14/daily-digest
60,Senate,02/15/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/15/daily-digest
61,House,02/15/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/15/daily-digest
62,Senate,02/16/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/16/daily-digest
63,House,02/16/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/16/daily-digest
64,Senate,02/20/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/20/daily-digest
65,House,02/20/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/20/daily-digest
66,Senate,02/23/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/23/daily-digest
67,House,02/23/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/23/daily-digest
68,Senate,02/26/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/26/daily-digest
69,House,02/26/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/26/daily-digest
70,Senate,02/27/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/27/daily-digest
71,House,02/27/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/27/daily-digest
72,Senate,02/28/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/28/daily-digest
73,House,02/28/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/28/daily-digest
74,Senate,02/29/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/29/daily-digest
75,House,02/29/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/29/daily-digest
76,Senate,03/01/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/1/daily-digest
77,House,03/01/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/1/daily-digest
78,Senate,03/05/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/5/daily-digest
79,House,03/05/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/5/daily-digest
80,Senate,03/06/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/6/daily-digest
81,House,03/06/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/6/daily-digest
82,Senate,03/07/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/7/daily-digest
83,House,03/07/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/7/daily-digest
84,Senate,03/08/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/8/daily-digest
85,House,03/08/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/8/daily-digest
86,Senate,03/11/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/11/daily-digest
87,House,03/11/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/11/daily-digest
88,Senate,03/12/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/12/daily-digest
89,House,03/12/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/12/daily-digest
90,Senate,03/13/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/13/daily-digest
91,House,03/13/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/13/daily-digest
92,Senate,03/14/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/14/daily-digest
93,House,03/14/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/14/daily-digest
94,Senate,03/15/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/15/daily-digest
95,House,03/15/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/15/daily-digest
96,Senate,03/19/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/19/daily-digest
97,House,03/19/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/19/daily-digest
98,Senate,03/20/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/20/daily-digest
99,House,03/20/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/20/daily-digest
100,Senate,03/21/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/21/daily-digest
101,House,03/21/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/21/daily-digest
102,Senate,03/22/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/22/daily-digest
103,House,03/22/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/22/daily-digest
104,Senate,03/26/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/26/daily-digest
105,House,03/26/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/26/daily-digest
106,Senate,03/28/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/28/daily-digest
107,House,03/28/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/28/daily-digest
108,Senate,03/29/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/29/daily-digest
109,House,03/29/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/3/29/daily-digest
110,Senate,04/01/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/1/daily-digest
111,House,04/01/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/1/daily-digest
112,Senate,04/02/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/2/daily-digest
113,House,04/02/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/2/daily-digest
114,Senate,04/04/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/4/daily-digest
115,House,04/04/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/4/daily-digest
116,Senate,04/05/2024,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday April 8 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/4/5/daily-digest
117,House,04/05/2024,09:00AM,09:03AM,3.0,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2024/4/5/daily-digest
118,Senate,04/08/2024,15:00PM,19:46PM,286.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:46 p.m. until 10 a.m. on Tuesday April 9 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/4/8/daily-digest
119,House,04/08/2024,,,,NS,The House was not in session. The House will meet at 12 noon on Tuesday April 9 2024.No hearings were held.,https://www.congress.gov/congressional-record/2024/4/8/daily-digest
120,Senate,04/09/2024,10:00AM,18:00PM,480.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6 p.m. until 10 a.m. on Wednesday April 10 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/4/9/daily-digest
121,House,04/09/2024,12:00PM,21:31PM,571.0,x,Adjournment: The House met at 12 p.m. and adjourned at 9:31 p.m.  ,https://www.congress.gov/congressional-record/2024/4/9/daily-digest
122,Senate,04/10/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/10/daily-digest
123,House,04/10/2024,10:00AM,16:40PM,400.0,x,Adjournment: The House met at 10 a.m. and adjourned at 4:40 p.m.   ,https://www.congress.gov/congressional-record/2024/4/10/daily-digest
124,Senate,04/11/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/11/daily-digest
