,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
34,Senate,01/28/2022,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday January 31 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/28/daily-digest
35,House,01/28/2022,09:00AM,09:03AM,3.0,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2022/1/28/daily-digest
36,Senate,01/31/2022,15:00PM,18:49PM,229.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:49 p.m. until 10 a.m. on Tuesday February 1 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/1/31/daily-digest
37,House,01/31/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 2 p.m. on Tuesday February 1 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/1/31/daily-digest
38,Senate,02/01/2022,10:00AM,20:59PM,659.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 8:59 p.m. until 10 a.m. on Wednesday February 2 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/1/daily-digest
39,House,02/01/2022,14:00PM,19:39PM,339.0,x,Adjournment: The House met at 2 p.m. and adjourned at 7:39 p.m. ,https://www.congress.gov/congressional-record/2022/2/1/daily-digest
40,Senate,02/02/2022,10:00AM,21:32PM,692.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:32 p.m. until 10 a.m. on Thursday February 3 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/2/daily-digest
41,House,02/02/2022,1900-01-01 10:00:00,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/2/2/daily-digest
42,Senate,02/03/2022,16:41PM,16:41PM,0.0,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/2/3/daily-digest
43,House,02/03/2022,12:00PM,19:42PM,462.0,x,Adjournment: The House met at 12 p.m. and adjourned at 7:42 p.m.   ,https://www.congress.gov/congressional-record/2022/2/3/daily-digest
44,Senate,02/04/2022,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday February 7 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/4/daily-digest
45,House,02/04/2022,09:00AM,13:09PM,249.0,x,Adjournment: The House met at 9 a.m. and adjourned at 1:09 p.m.      ,https://www.congress.gov/congressional-record/2022/2/4/daily-digest
