,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
31,House,01/27/2023,09:00AM,14:58PM,358.0,x,Adjournment: The House met at 9 a.m. and adjourned at 2:58 p.m. ,https://www.congress.gov/congressional-record/2023/1/27/daily-digest
32,Senate,01/30/2023,15:00PM,18:40PM,220.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:40 p.m. until 10 a.m. on Tuesday January 31 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/1/30/daily-digest
33,House,01/30/2023,12:00PM,19:13PM,433.0,x,Adjournment: The House met at 12 p.m. and adjourned at 7:13 p.m. ,https://www.congress.gov/congressional-record/2023/1/30/daily-digest
34,Senate,01/31/2023,10:00AM,15:52PM,352.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:52 p.m. until 10 a.m. on Wednesday February 1 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/1/31/daily-digest
35,House,01/31/2023,10:00AM,20:12PM,612.0,x,Adjournment: The House met at 10 a.m. and adjourned at 8:12 p.m. ,https://www.congress.gov/congressional-record/2023/1/31/daily-digest
36,Senate,02/01/2023,10:01AM,17:59PM,478.0,x,Adjournment: Senate convened at 10:01 a.m. and adjourned at 5:59 p.m. until 10 a.m. on Thursday February 2 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/2/1/daily-digest
37,House,02/01/2023,10:00AM,18:46PM,526.0,x,Adjournment: The House met at 10 a.m. and adjourned at 6:46 p.m.   ,https://www.congress.gov/congressional-record/2023/2/1/daily-digest
38,Senate,02/02/2023,10:00AM,16:02PM,362.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:02 p.m. until 11 a.m. on Friday February 3 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/2/2/daily-digest
39,House,02/02/2023,09:30AM,15:06PM,336.0,x,Adjournment: The House met at 9:30 a.m. and adjourned at 3:06 p.m. ,https://www.congress.gov/congressional-record/2023/2/2/daily-digest
40,Senate,02/03/2023,,,,pf,The Senate met at 11:00:05 a.m. in pro forma session and adjourned at 11:00:47 a.m. until 3 p.m. on Tuesday February 7 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/2/3/daily-digest
41,House,02/03/2023,,,,NS,The House was not in session today. The House will meet at 12 p.m. on Monday February 6 2023.No hearings were held. ,https://www.congress.gov/congressional-record/2023/2/3/daily-digest
42,Senate,02/06/2023,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Tuesday February 7 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/2/6/daily-digest
43,House,02/06/2023,12:00PM,20:13PM,493.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:13 p.m. ,https://www.congress.gov/congressional-record/2023/2/6/daily-digest
44,Senate,02/07/2023,15:00PM,22:41PM,461.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 10:41 p.m. until 10 a.m. on Thursday February 9 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/2/7/daily-digest
45,House,02/07/2023,10:00AM,22:42PM,762.0,x,Adjournment: The House met at 10 a.m. and adjourned at 10:42 p.m.   ,https://www.congress.gov/congressional-record/2023/2/7/daily-digest
46,Senate,02/08/2023,,,,NS,The Senate was not in session and stands adjourned until 10 a.m. on Thursday February 9 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/2/8/daily-digest
47,House,02/08/2023,10:00AM,19:49PM,589.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:49 p.m.   ,https://www.congress.gov/congressional-record/2023/2/8/daily-digest
48,Senate,02/09/2023,10:00AM,16:29PM,389.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:29 p.m. until 3 p.m. on Monday February 13 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/2/9/daily-digest
49,House,02/09/2023,09:00AM,12:56PM,236.0,x,Adjournment: The House met at 9 a.m. and adjourned at 12:56 p.m.  ,https://www.congress.gov/congressional-record/2023/2/9/daily-digest
50,Senate,02/10/2023,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday February 13 2023.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2023/2/10/daily-digest
51,House,02/10/2023,11:00AM,11:03AM,3.0,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m. ,https://www.congress.gov/congressional-record/2023/2/10/daily-digest
52,Senate,02/13/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/2/13/daily-digest
53,House,02/13/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/2/13/daily-digest
54,Senate,02/14/2023,11:00AM,19:03PM,483.0,x,Adjournment: Senate convened at 11 a.m. and adjourned at 7:03 p.m. until 10 a.m. on Wednesday February 15 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/2/14/daily-digest
55,House,02/14/2023,10:00AM,10:03AM,3.0,pf,Adjournment:  The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2023/2/14/daily-digest
56,Senate,02/15/2023,10:00AM,18:19PM,499.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:19 p.m. until 10 a.m. on Thursday February 16 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/2/15/daily-digest
57,House,02/15/2023,,,,NS,The House was not in session today. The House will meet at 10 a.m. on Friday February 17 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/2/15/daily-digest
58,Senate,02/16/2023,10:00AM,16:49PM,409.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:49 p.m. until 10 a.m. on Friday February 17 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/2/16/daily-digest
59,House,02/16/2023,,,,NS,The House was not in session today. The House will meet at 10 a.m. on Friday February 17 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/2/16/daily-digest
60,Senate,02/17/2023,,,,pf,The Senate met at 10:00:57 a.m. in pro forma session and adjourned at 10:01:23 a.m. until 11 a.m. on Tuesday February 21 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/2/17/daily-digest
