House or Senate,Date,Time Convened,Time Adjourned,Time in Session (minutes),"Working Day? (x = working day, pf = pro forma, NS = not in session)",Scraped adjournment string,url,Time in Session,Working Day?
Senate,1/28/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday January 31 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/28/daily-digest,,
House,1/28/22,09:00AM,09:03AM,3,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2022/1/28/daily-digest,,
Senate,1/31/22,15:00PM,18:49PM,229,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:49 p.m. until 10 a.m. on Tuesday February 1 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/1/31/daily-digest,,
House,1/31/22,,,,NS,The House was not in session today. The House is scheduled to meet at 2 p.m. on Tuesday February 1 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/1/31/daily-digest,,
Senate,2/1/22,10:00AM,20:59PM,659,x,Adjournment: Senate convened at 10 a.m. and adjourned at 8:59 p.m. until 10 a.m. on Wednesday February 2 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/1/daily-digest,,
House,2/1/22,14:00PM,19:39PM,339,x,Adjournment: The House met at 2 p.m. and adjourned at 7:39 p.m. ,https://www.congress.gov/congressional-record/2022/2/1/daily-digest,,
Senate,2/2/22,10:00AM,21:32PM,692,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:32 p.m. until 10 a.m. on Thursday February 3 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/2/daily-digest,,
House,2/2/22,10:00,20:07,10:07,x,,https://www.congress.gov/congressional-record/2022/2/2/daily-digest,,
Senate,2/3/22,10:00,16:41,6:41,x,,https://www.congress.gov/congressional-record/2022/2/3/daily-digest,,
House,2/3/22,12:00PM,19:42PM,462,x,Adjournment: The House met at 12 p.m. and adjourned at 7:42 p.m.   ,https://www.congress.gov/congressional-record/2022/2/3/daily-digest,,
Senate,2/4/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday February 7 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/4/daily-digest,,
House,2/4/22,09:00AM,13:09PM,249,x,Adjournment: The House met at 9 a.m. and adjourned at 1:09 p.m.      ,https://www.congress.gov/congressional-record/2022/2/4/daily-digest,,
Senate,2/7/22,15:00,19:03,4:03,x,,https://www.congress.gov/congressional-record/2022/2/7/daily-digest,,
House,2/7/22,12:00PM,21:52PM,592,x,Adjournment: The House met at 12 p.m. and adjourned at 9:52 p.m.  ,https://www.congress.gov/congressional-record/2022/2/7/daily-digest,,
Senate,2/8/22,10:00AM,18:57PM,537,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:57 p.m. until 10 a.m. on Wednesday February 9 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/8/daily-digest,,
House,2/8/22,10:00AM,20:19PM,619,x,Adjournment: The House met at 10 a.m. and adjourned at 8:19 p.m.   ,https://www.congress.gov/congressional-record/2022/2/8/daily-digest,,
