House or Senate,Date,Time Convened,Time Adjourned,Time in Session (minutes),"Working Day? (x = working day, pf = pro forma, NS = not in session)",Scraped adjournment string,url,Time in Session,Working Day?
Senate,7/19/22,10:01AM,21:50PM,709,x,Adjournment: Senate convened at 10:01 a.m. and adjourned at 9:50 p.m. until 10 a.m. on Wednesday July 20 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/7/19/daily-digest,,
House,7/19/22,10:00AM,20:36PM,636,x,Adjournment: The House met at 10 a.m. and adjourned at 8:36 p.m. ,https://www.congress.gov/congressional-record/2022/7/19/daily-digest,,
Senate,7/20/22,10:00AM,20:47PM,647,x,Adjournment: Senate convened at 10 a.m. and adjourned at 8:47 p.m. until 10 a.m. on Thursday July 21 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/7/20/daily-digest,,
House,7/20/22,10:00AM,17:14PM,434,x,Adjournment: The House met at 10 a.m. and adjourned at 5:14 p.m.,https://www.congress.gov/congressional-record/2022/7/20/daily-digest,,
Senate,7/21/22,10:00AM,16:21PM,381,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:21 p.m. until 3 p.m. on Monday July 25 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/7/21/daily-digest,,
House,7/21/22,09:00AM,13:57PM,297,x,Adjournment: The House met at 9 a.m. and adjourned at 1:57 p.m.  ,https://www.congress.gov/congressional-record/2022/7/21/daily-digest,,
Senate,7/22/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday July 25 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/7/22/daily-digest,,
House,7/22/22,09:00AM,09:02AM,2,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:02 a.m.   ,https://www.congress.gov/congressional-record/2022/7/22/daily-digest,,
Senate,7/25/22,15:00PM,18:46PM,226,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:46 p.m. until 10 a.m. on Tuesday July 26 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/7/25/daily-digest,,
House,7/25/22,,,,NS,The House was not in session today. The House is scheduled to meet at 12 noon on Tuesday July 26 2022.No hearings were held. ,https://www.congress.gov/congressional-record/2022/7/25/daily-digest,,
Senate,7/26/22,10:00AM,19:03PM,543,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:03 p.m. until 10 a.m. on Wednesday July 27 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/7/26/daily-digest,,
House,7/26/22,12:00PM,22:00PM,600,x,Adjournment: The House met at 12 p.m. and adjourned at 10 p.m. ,https://www.congress.gov/congressional-record/2022/7/26/daily-digest,,
Senate,7/27/22,10:00AM,19:06PM,546,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:06 p.m. until 10 a.m. on Thursday July 28 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/7/27/daily-digest,,
House,7/27/22,10:00AM,20:22PM,622,x,Adjournment:  The House met at 10 a.m. and adjourned at 8:22 p.m.   ,https://www.congress.gov/congressional-record/2022/7/27/daily-digest,,
Senate,7/28/22,10:00AM,16:28PM,388,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:28 p.m. until 3 p.m. on Monday August 1 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/7/28/daily-digest,,
House,7/28/22,10:00AM,17:01PM,421,x,Adjournment: The House met at 10 a.m. and adjourned at 5:01 p.m. ,https://www.congress.gov/congressional-record/2022/7/28/daily-digest,,
Senate,7/29/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday August 1 2022.â€“â€“â€“â€“â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/7/29/daily-digest,,
House,7/29/22,09:00AM,20:39PM,699,x,Adjournment: The House met at 9 a.m. and adjourned at 8:39 p.m.   ,https://www.congress.gov/congressional-record/2022/7/29/daily-digest,,
Senate,8/1/22,15:00PM,19:21PM,261,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:21 p.m. until 12  noon on Tuesday August 2 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/8/1/daily-digest,,
House,8/1/22,,,,NS,The House was not in session today. The House is scheduled to meet at 3 p.m. on Tuesday August 2 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/8/1/daily-digest,,
Senate,8/2/22,12:00,21:01,9:01,x,,https://www.congress.gov/congressional-record/2022/8/2/daily-digest,,
House,8/2/22,15:00PM,15:04PM,4,pf,Adjournment: The House met at 3 p.m. and adjourned at 3:04 p.m. ,https://www.congress.gov/congressional-record/2022/8/2/daily-digest,,
Senate,8/3/22,,,,NS,The House was not in session today. The House is scheduled to meet at 3 p.m. on Friday August 5 2022.,https://www.congress.gov/congressional-record/2022/8/3/daily-digest,,
House,8/3/22,,,,NS,The House was not in session today. The House is scheduled to meet at 3 p.m. on Friday August 5 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/8/3/daily-digest,,
Senate,8/4/22,,,,NS,The House was not in session today. The House is scheduled to meet at 3 p.m. on Friday August 5 2022.,https://www.congress.gov/congressional-record/2022/8/4/daily-digest,,
House,8/4/22,,,,NS,The House was not in session today. The House is scheduled to meet at 3 p.m. on Friday August 5 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/8/4/daily-digest,,
Senate,8/5/22,,,,NS,The Senate was not in session and stands adjourned until 12 noon on Saturday August 6 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/8/5/daily-digest,,
House,8/5/22,15:00PM,15:04PM,4,pf,Adjournment: The House met at 3 p.m. and adjourned at 3:04 p.m. ,https://www.congress.gov/congressional-record/2022/8/5/daily-digest,,
Senate,8/6/22,,,,NS,The House was not in session today. The House is scheduled to meet at 1 p.m. on Tuesday August 9 2022.,https://www.congress.gov/congressional-record/2022/8/6/daily-digest,,
House,8/6/22,,,,NS,The House was not in session today. The House is scheduled to meet at 1 p.m. on Tuesday August 9 2022.No hearings were held.  ,https://www.congress.gov/congressional-record/2022/8/6/daily-digest,,
Senate,8/9/22,,,,pf,The Senate met at 9 a.m. in pro forma session and adjourned at 9:00:35 a.m. until 9 a.m. on Friday August 12 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/8/9/daily-digest,,
House,8/9/22,13:00PM,13:04PM,4,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:04 p.m.   ,https://www.congress.gov/congressional-record/2022/8/9/daily-digest,,
Senate,8/12/22,,,,pf,The Senate met at 9:00:10 a.m. in pro forma session and adjourned at 9:00:49 a.m. until 8 a.m. on Tuesday August 16 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/8/12/daily-digest,,
House,8/12/22,09:00AM,17:46PM,526,x,Adjournment: The House met at 9 a.m. and adjourned at 5:46 p.m. pursuant to ,https://www.congress.gov/congressional-record/2022/8/12/daily-digest,,
Senate,8/16/22,,,,pf,The Senate met at 8 a.m. in pro forma session and adjourned at 8:00:33 a.m. until 2:30 p.m. on Friday August 19 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/8/16/daily-digest,,
House,8/16/22,13:00PM,13:03PM,3,pf,Adjournment:  The House met at 1 p.m. and adjourned at 1:03 p.m. ,https://www.congress.gov/congressional-record/2022/8/16/daily-digest,,
Senate,8/19/22,,,,pf,The Senate met at 2:30:26 p.m. in pro forma session and adjourned at 2:31 p.m. until 10:30 a.m. on Tuesday August 23 2022.â€“â€“â€“â€“â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/8/19/daily-digest,,
House,8/19/22,11:00AM,11:02AM,2,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:02 a.m.  ,https://www.congress.gov/congressional-record/2022/8/19/daily-digest,,
Senate,8/23/22,,,,pf,The Senate met at 10:32:40 a.m. in pro forma session and adjourned at 10:33:15 a.m. until 10 a.m. on Friday August 26 2022.â€“â€“â€“â€“â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/8/23/daily-digest,,
House,8/23/22,10:00AM,10:03AM,3,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m.   ,https://www.congress.gov/congressional-record/2022/8/23/daily-digest,,
Senate,8/26/22,,,,pf,The Senate met at 10:00:15 a.m. in pro forma session and adjourned at 10:00:40 a.m. until 10 a.m. on Tuesday August 30 2022.    No committee meetings were held.,https://www.congress.gov/congressional-record/2022/8/26/daily-digest,,
House,8/26/22,10:00AM,10:02AM,2,pf,Adjournment:  The House met at 10 a.m. and adjourned at 10:02 a.m. ,https://www.congress.gov/congressional-record/2022/8/26/daily-digest,,
Senate,8/30/22,,,,pf,The Senate met at 10:00:02 a.m. in pro forma session and adjourned at 10:00:38 a.m. until 9 a.m. on Friday September 2 2022.    No committee meetings were held.,https://www.congress.gov/congressional-record/2022/8/30/daily-digest,,
House,8/30/22,12:00PM,12:02PM,2,pf,Adjournment: The House met at 12 p.m. and adjourned at 12:02 p.m.  ,https://www.congress.gov/congressional-record/2022/8/30/daily-digest,,
Senate,9/2/22,,,,pf,The Senate met at 9:00:04 a.m. in pro forma session and adjourned at 9:00:33 a.m. until 3 p.m. on Tuesday September 6 2022. No committee meetings were held. ,https://www.congress.gov/congressional-record/2022/9/2/daily-digest,,
House,9/2/22,10:00AM,10:05AM,5,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:05 a.m.    ,https://www.congress.gov/congressional-record/2022/9/2/daily-digest,,
Senate,9/6/22,15:00PM,20:33PM,333,x,Adjournment: Senate convened at 3 p.m. and adjourned at 8:33 p.m. until 10 a.m. on Wednesday September 7 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/6/daily-digest,,
House,9/6/22,09:00AM,09:27AM,27,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:27 a.m.   ,https://www.congress.gov/congressional-record/2022/9/6/daily-digest,,
Senate,9/7/22,10:00AM,17:57PM,477,x,Adjournment: Senate convened at 10 a.m. and adjourned at 5:57 p.m. until 10 a.m. on Thursday September 8 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/7/daily-digest,,
House,9/7/22,,,,NS,The House was not in session today. The House is scheduled to meet in Pro Forma session at 9 a.m. on Friday September 9 2022. Subcommittee on Workforce Protections held a hearing entitled ``Children at Risk: Examining Workplace Protections for Child Farmworkers. Testimony was heard from public witnesses. ,https://www.congress.gov/congressional-record/2022/9/7/daily-digest,,
Senate,9/8/22,10:00AM,15:05PM,305,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:05 p.m. until 3 p.m. on Monday September 12 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/8/daily-digest,,
House,9/8/22,,,,NS,The House was not in session today. The House is scheduled to meet in Pro Forma session at 9 a.m. on Friday September 9 2022.Subcommittee on Civil Rights and Human Services held a hearing entitled ``An Ounce of Prevention: Investments in Juvenile Justice Programs. Testimony was heard from public witnesses. ,https://www.congress.gov/congressional-record/2022/9/8/daily-digest,,
Senate,9/9/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday September 12 2022.â€“â€“â€“â€“â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/9/9/daily-digest,,
House,9/9/22,09:00AM,09:02AM,2,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:02 a.m. ,https://www.congress.gov/congressional-record/2022/9/9/daily-digest,,
Senate,9/12/22,15:00PM,20:53PM,353,x,Adjournment: Senate convened at 3 p.m. and adjourned at 8:53 p.m. until 10 a.m. on Tuesday September 13 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/12/daily-digest,,
House,9/12/22,,,,NS,The House was not in session today. The House is scheduled to meet at 2 p.m. on Tuesday September 13 2022. No hearings were held.,https://www.congress.gov/congressional-record/2022/9/12/daily-digest,,
Senate,9/13/22,10:00AM,18:20PM,500,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:20 p.m. until 10 a.m. on Wednesday September 14 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/13/daily-digest,,
House,9/13/22,14:00PM,19:52PM,352,x,Adjournment: The House met at 2 p.m. and adjourned at 7:52 p.m. pursuant to ,https://www.congress.gov/congressional-record/2022/9/13/daily-digest,,
Senate,9/14/22,10:00AM,18:06PM,486,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:06 p.m. until 10 a.m. on Thursday September 15 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/14/daily-digest,,
House,9/14/22,10:00AM,17:27PM,447,x,Adjournment:  The House met at 10 a.m. and adjourned at 5:27 p.m.  ,https://www.congress.gov/congressional-record/2022/9/14/daily-digest,,
Senate,9/15/22,10:00AM,15:57PM,357,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:57 p.m. until 3 p.m. on Monday September 19 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/15/daily-digest,,
House,9/15/22,12:00PM,18:43PM,403,x,Adjournment: The House met at 12 p.m. and adjourned at 6:43 p.m.   ,https://www.congress.gov/congressional-record/2022/9/15/daily-digest,,
Senate,9/19/22,15:01PM,18:39PM,218,x,Adjournment: Senate convened at 3:01 p.m. and adjourned at 6:39 p.m. until 10 a.m. on Tuesday September 20 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/19/daily-digest,,
House,9/19/22,12:00PM,21:15PM,555,x,Adjournment: The House met at 12 p.m. and adjourned at 9:15 p.m.   ,https://www.congress.gov/congressional-record/2022/9/19/daily-digest,,
Senate,9/20/22,10:00AM,17:59PM,479,x,Adjournment: Senate convened at 10 a.m. and adjourned at 5:59 p.m. until 10 a.m. on Wednesday September 21 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/20/daily-digest,,
House,9/20/22,10:00AM,16:47PM,407,x,Adjournment: The House met at 10 a.m. and adjourned at 4:47 p.m.   ,https://www.congress.gov/congressional-record/2022/9/20/daily-digest,,
Senate,9/21/22,10:00AM,19:33PM,573,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:33 p.m. until 10 a.m. on Thursday September 22 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on page 4940.) ,https://www.congress.gov/congressional-record/2022/9/21/daily-digest,,
House,9/21/22,10:00AM,19:41PM,581,x,Adjournment: The House met at 10 a.m. and adjourned at 7:41 p.m.  ,https://www.congress.gov/congressional-record/2022/9/21/daily-digest,,
Senate,9/22/22,10:00,16:30,6:30,x,,https://www.congress.gov/congressional-record/2022/9/22/daily-digest,,
House,9/22/22,09:00AM,18:14PM,554,x,Adjournment: The House met at 9 a.m. and adjourned at 6:14 p.m.   ,https://www.congress.gov/congressional-record/2022/9/22/daily-digest,,
Senate,9/23/22,,,,pf,The Senate met at 11:00:01 a.m. in pro forma session and adjourned at 11:00:32 a.m. until 3 p.m. on Tuesday September 27 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/9/23/daily-digest,,
House,9/23/22,,,,NS,The House was not in session today. The House will meet in Pro Forma session on Monday September 26 at 10 a.m.On September 21 2022 Full Committee held a business meeting on legislation on VA Facility Naming Bills. ,https://www.congress.gov/congressional-record/2022/9/23/daily-digest,,
Senate,9/26/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Tuesday September 27 2022.   No committee meetings were held. ,https://www.congress.gov/congressional-record/2022/9/26/daily-digest,,
House,9/26/22,10:00AM,10:03AM,3,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m.   ,https://www.congress.gov/congressional-record/2022/9/26/daily-digest,,
Senate,9/27/22,15:00PM,18:56PM,236,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:56 p.m. until 10 a.m. on Wednesday September 28 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/27/daily-digest,,
House,9/27/22,,,,NS,The House was not in session today. The House will meet on Wednesday September 28 at 12 p.m.   Full Committee held a hearing on ,https://www.congress.gov/congressional-record/2022/9/27/daily-digest,,
Senate,9/28/22,10:00AM,20:25PM,625,x,Adjournment: Senate convened at 10 a.m. and adjourned at 8:25 p.m. until 10 a.m. on Thursday September 29 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/28/daily-digest,,
House,9/28/22,12:00PM,22:09PM,609,x,Adjournment: The House met at 12 p.m. and adjourned at 10:09 p.m.   ,https://www.congress.gov/congressional-record/2022/9/28/daily-digest,,
Senate,9/29/22,10:00AM,18:51PM,531,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:51 p.m. until 8:55 a.m. on Friday September 30 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/9/29/daily-digest,,
House,9/29/22,10:00AM,20:09PM,609,x,Adjournment: The House met at 10 a.m. and adjourned at 8:09 p.m.   ,https://www.congress.gov/congressional-record/2022/9/29/daily-digest,,
Senate,9/30/22,,,,pf,The Senate met at 8:55:01 a.m. in pro forma session and adjourned at 8:55:36 a.m. until 10 a.m. on Tuesday October 4 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/9/30/daily-digest,,
House,9/30/22,09:00AM,15:20PM,380,x,Adjournment: The House met at 9 a.m. and adjourned at 3:20 p.m.   ,https://www.congress.gov/congressional-record/2022/9/30/daily-digest,,
Senate,10/4/22,,,,pf,The Senate met at 10:00:56 a.m. in pro forma session and adjourned at 10:01:30 a.m. until 10 a.m. on Friday October 7 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/4/daily-digest,,
House,10/4/22,12:00PM,12:04PM,4,pf,Adjournment: The House met at 12 p.m. and adjourned at 12:04 p.m. ,https://www.congress.gov/congressional-record/2022/10/4/daily-digest,,
Senate,10/7/22,,,,pf,The Senate met at 10:00:12 a.m. in pro forma session and adjourned at 10:00:45 a.m. until 11 a.m. on Tuesday October 11 2022.â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/7/daily-digest,,
House,10/7/22,13:30PM,13:34PM,4,pf,Adjournment: The House met at 1:30 p.m. and adjourned at 1:34 p.m.   ,https://www.congress.gov/congressional-record/2022/10/7/daily-digest,,
Senate,10/11/22,11:00AM,11:26AM,26,pf,Adjournment: Senate convened at 11 a.m. and adjourned at 11:26 a.m. until 11:30 a.m. on Friday October 14 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/10/11/daily-digest,,
House,10/11/22,10:00AM,10:02AM,2,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:02 a.m. ,https://www.congress.gov/congressional-record/2022/10/11/daily-digest,,
Senate,10/14/22,,,,pf,The Senate met at 11:30:01 a.m. in pro forma session and adjourned at 11:31:12 a.m. until 11:30 a.m. on Tuesday October 18 2022.A unanimous-consent agreement was reached providing that notwithstanding the order that no business be conducted during the pro forma session it be in order for committees to report legislative business from 10:30 a.m. until 11:30 a.m. on Tuesday October 18 2022 and that the Senate stand adjourned in accordance with the orders of September 29 2022 and October 11 2022 for previously ordered pro forma sessions.,https://www.congress.gov/congressional-record/2022/10/14/daily-digest,,
House,10/14/22,11:30AM,11:33AM,3,pf,Adjournment: The House met at 11:30 a.m. and adjourned at 11:33 a.m.  ,https://www.congress.gov/congressional-record/2022/10/14/daily-digest,,
Senate,10/18/22,11:30 AM,11:30 AM,0,pf,.Quorum Calls--Votes: There were no Yea and Nay votes and there were no Recorded votes. There were no quorum calls.Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.,https://www.congress.gov/congressional-record/2022/10/18/daily-digest,,
House,10/18/22,09:00AM,09:03AM,3,pf,.Quorum Calls--Votes: There were no Yea and Nay votes and there were no Recorded votes. There were no quorum calls.Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.,https://www.congress.gov/congressional-record/2022/10/18/daily-digest,,
Senate,10/20/22,,,,pf,The Senate met at 9:00:01 a.m. in pro forma session and adjourned at 9:00:36 a.m. until 1:45 p.m. on Monday October 24 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/20/daily-digest,,
House,10/20/22,,,,NS,The House was not in session today. The House will meet in Pro Forma session on Friday October 21 at 11 a.m.No hearings were held.,https://www.congress.gov/congressional-record/2022/10/20/daily-digest,,
Senate,10/21/22,,,,NS,The Senate was not in session and stands adjourned until 1:45 p.m. on Monday October 24 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/21/daily-digest,,
House,10/21/22,11:00AM,11:03AM,3,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m. ,https://www.congress.gov/congressional-record/2022/10/21/daily-digest,,
Senate,10/24/22,,,,pf,The Senate met at 1:45:00 p.m. in pro forma session and adjourned at 1:45:37 p.m. until 12 noon on Thursday October 27 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/24/daily-digest,,
House,10/24/22,,,,NS,The House was not in session today. The House will meet in Pro Forma session on Tuesday October 25 at 11 a.m.No hearings were held.,https://www.congress.gov/congressional-record/2022/10/24/daily-digest,,
Senate,10/25/22,,,,NS,The Senate was not in session and stands adjourned until 12:00 noon on Thursday October 27 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/25/daily-digest,,
House,10/25/22,11:00AM,11:02AM,2,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:02 a.m. ,https://www.congress.gov/congressional-record/2022/10/25/daily-digest,,
Senate,10/27/22,,,,pf,The Senate met at 12:02:14 p.m. in pro forma session and adjourned at 12:02:50 p.m. until 10 a.m. on Monday October 31 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/27/daily-digest,,
House,10/27/22,,,,NS,The House was not in session today. The House will meet in Pro Forma session on Friday October 28 at 10 a.m.No hearings were held.,https://www.congress.gov/congressional-record/2022/10/27/daily-digest,,
Senate,10/28/22,,,,NS,The Senate was not in session and stands adjourned until 10 a.m. on Monday October 31 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/28/daily-digest,,
House,10/28/22,10:00AM,10:02AM,2,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:02 a.m.  ,https://www.congress.gov/congressional-record/2022/10/28/daily-digest,,
Senate,10/31/22,,,,pf,The Senate met at 10:00:03 a.m. in pro forma session and adjourned at 10:00:31 a.m. until 10:30 a.m. on Thursday November 3 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/10/31/daily-digest,,
House,10/31/22,11:00AM,11:02AM,2,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:02 a.m. ,https://www.congress.gov/congressional-record/2022/10/31/daily-digest,,
Senate,11/3/22,,,,pf,The Senate met at 10:30 a.m. in pro forma session and adjourned at 10:30:27 a.m. until 10:30 a.m. on Monday November 7 2022.No committee meetings were held. ,https://www.congress.gov/congressional-record/2022/11/3/daily-digest,,
House,11/3/22,12:00PM,12:03PM,3,pf,Adjournment: The House met at 12 p.m. and adjourned at 12:03 p.m.     ,https://www.congress.gov/congressional-record/2022/11/3/daily-digest,,
Senate,11/7/22,,,,pf,The Senate met at 10:30:00 a.m. in pro forma session and adjourned at 10:30:08 a.m. until 3 p.m. on Thursday November 10 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/11/7/daily-digest,,
House,11/7/22,11:30AM,11:33AM,3,pf,Adjournment: The House met at 11:30 a.m. and adjourned at 11:33 a.m.,https://www.congress.gov/congressional-record/2022/11/7/daily-digest,,
Senate,11/10/22,,,,pf,The Senate met at 3:00:01 p.m. in pro forma session and adjourned at 3:00:37 p.m. until 3 p.m. on Monday November 14 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/11/10/daily-digest,,
House,11/10/22,12:00PM,12:02PM,2,pf,Adjournment: The House met at 12 p.m. and adjourned at 12:02 p.m.   ,https://www.congress.gov/congressional-record/2022/11/10/daily-digest,,
Senate,11/14/22,15:00PM,18:52PM,232,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:52 p.m. until 11 a.m. on Tuesday November 15 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/11/14/daily-digest,,
House,11/14/22,14:00PM,19:26PM,326,x,Adjournment: The House met at 2 p.m. and adjourned at 7:26 p.m.  ,https://www.congress.gov/congressional-record/2022/11/14/daily-digest,,
Senate,11/15/22,11:00AM,19:06PM,486,x,Adjournment: Senate convened at 11 a.m. and adjourned at 7:06 p.m. until 1:45 p.m. on Wednesday November 16 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/11/15/daily-digest,,
House,11/15/22,10:00AM,13:32PM,212,x,Adjournment: The House met at 10 a.m. and adjourned at 1:32 p.m. ,https://www.congress.gov/congressional-record/2022/11/15/daily-digest,,
Senate,11/16/22,13:45PM,18:58PM,313,x,Adjournment: Senate convened at 1:45 p.m. and adjourned at 6:58 p.m. until 10 a.m. on Thursday November 17 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/11/16/daily-digest,,
House,11/16/22,10:00AM,16:31PM,391,x,Adjournment: The House met at 10 a.m. and adjourned at 4:31 p.m.     ,https://www.congress.gov/congressional-record/2022/11/16/daily-digest,,
Senate,11/17/22,10:00AM,00:01AM,14:01,x,,https://www.congress.gov/congressional-record/2022/11/17/daily-digest,,
House,11/17/22,10:00AM,16:28PM,388,x,Adjournment: The House met at 10 a.m. and adjourned at 4:28 p.m.   ,https://www.congress.gov/congressional-record/2022/11/17/daily-digest,,
Senate,11/18/22,,,,NS,The Senate was not in session and stands adjourned until 5:30 p.m. on Tuesday November 22 2022.â€“â€“â€“â€“â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/11/18/daily-digest,,
House,11/18/22,11:00AM,11:03AM,3,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m. ,https://www.congress.gov/congressional-record/2022/11/18/daily-digest,,
Senate,11/22/22,,,,pf,The Senate met at 5:30:03 p.m. in pro forma session and adjourned at 5:30:37 p.m. until 8 a.m. on Friday November 25 2022.â€“â€“â€“â€“â€“â€“ No committee meetings were held.,https://www.congress.gov/congressional-record/2022/11/22/daily-digest,,
House,11/22/22,09:30AM,09:33AM,3,pf,Adjournment: The House met at 9:30 a.m. and adjourned at 9:33 a.m.  ,https://www.congress.gov/congressional-record/2022/11/22/daily-digest,,
Senate,11/25/22,,,,pf,The Senate met at 8:24:14 a.m. in pro forma session and adjourned at 8:24:43 a.m. until 3 p.m. on Monday November 28 2022.â€“â€“â€“â€“â€“â€“No committee meetings were held.,https://www.congress.gov/congressional-record/2022/11/25/daily-digest,,
House,11/25/22,11:00AM,11:02AM,2,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:02 a.m.   ,https://www.congress.gov/congressional-record/2022/11/25/daily-digest,,
Senate,11/28/22,15:00PM,20:20PM,320,x,Adjournment: Senate convened at 3 p.m. and adjourned at 8:20 p.m. until 12 noon on Tuesday November 29 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/11/28/daily-digest,,
House,11/28/22,,,,NS,The House was not in session today. The House will meet at 2 p.m. on Tuesday November 29 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/11/28/daily-digest,,
